,antecedants,consequents,support,confidence
188,"frozenset({'Q15', 'Q26', 'Q1', 'Q27'})",frozenset({'Q21'}),117,0.936
189,"frozenset({'Q15', 'Q26', 'Q21', 'Q27'})",frozenset({'Q1'}),117,0.9
190,"frozenset({'Q15', 'Q26', 'Q21', 'Q1'})",frozenset({'Q27'}),117,0.975
191,"frozenset({'Q15', 'Q21', 'Q1'})","frozenset({'Q26', 'Q27'})",117,0.975
192,"frozenset({'Q15', 'Q1'})","frozenset({'Q26', 'Q21', 'Q27'})",117,0.8863636363636364
193,"frozenset({'Q15', 'Q21'})","frozenset({'Q26', 'Q1', 'Q27'})",117,0.8731343283582089
194,"frozenset({'Q15', 'Q26', 'Q1'})","frozenset({'Q21', 'Q27'})",117,0.9
195,"frozenset({'Q15', 'Q26', 'Q21'})","frozenset({'Q1', 'Q27'})",117,0.8796992481203008
196,"frozenset({'Q15', 'Q20', 'Q21', 'Q19'})",frozenset({'Q26'}),126,1.0
197,"frozenset({'Q15', 'Q21', 'Q19'})","frozenset({'Q26', 'Q20'})",126,0.9545454545454546
198,"frozenset({'Q15', 'Q21'})","frozenset({'Q26', 'Q20', 'Q19'})",126,0.9402985074626866
199,"frozenset({'Q15', 'Q20', 'Q19'})","frozenset({'Q26', 'Q21'})",126,0.9767441860465116
200,"frozenset({'Q15', 'Q19'})","frozenset({'Q26', 'Q21', 'Q20'})",126,0.8873239436619719
201,"frozenset({'Q15', 'Q20'})","frozenset({'Q26', 'Q21', 'Q19'})",126,0.9767441860465116
202,"frozenset({'Q15', 'Q21', 'Q20'})","frozenset({'Q26', 'Q19'})",126,1.0
203,"frozenset({'Q15', 'Q26', 'Q20', 'Q19'})",frozenset({'Q21'}),126,0.9921259842519685
204,"frozenset({'Q15', 'Q26', 'Q19'})","frozenset({'Q20', 'Q21'})",126,0.9197080291970803
205,"frozenset({'Q15', 'Q26'})","frozenset({'Q20', 'Q21', 'Q19'})",126,0.8571428571428571
206,"frozenset({'Q15', 'Q26', 'Q20'})","frozenset({'Q21', 'Q19'})",126,0.9921259842519685
207,"frozenset({'Q15', 'Q26', 'Q21', 'Q19'})",frozenset({'Q20'}),126,0.9545454545454546
208,"frozenset({'Q15', 'Q26', 'Q21'})","frozenset({'Q20', 'Q19'})",126,0.9473684210526315
